Date,Open,High,Low,Close,Adj Close,Volume
2012-07-06,91.639999,91.639999,91.620003,91.620003,82.061569,134750
2012-07-09,91.639999,91.639999,91.620003,91.620003,82.061569,417400
2012-07-10,91.620003,91.639999,91.620003,91.620003,82.061569,451450
2012-07-11,91.620003,91.639999,91.620003,91.620003,82.061569,124950
2012-07-12,91.620003,91.639999,91.620003,91.620003,82.061569,260700
2012-07-13,91.620003,91.639999,91.620003,91.639999,82.079483,159750
2012-07-16,91.620003,91.639999,91.620003,91.620003,82.061569,98000
2012-07-17,91.620003,91.639999,91.620003,91.620003,82.061569,46550
2012-07-18,91.639999,91.639999,91.620003,91.620003,82.061569,108500
2012-07-19,91.639999,91.639999,91.620003,91.639999,82.079483,160350
2012-07-20,91.620003,91.639999,91.620003,91.620003,82.061569,121750
2012-07-23,91.639999,91.639999,91.620003,91.620003,82.061569,144550
2012-07-24,91.620003,91.639999,91.620003,91.639999,82.079483,225300
2012-07-25,91.639999,91.660004,91.620003,91.660004,82.097351,1505750
2012-07-26,91.639999,91.660004,91.639999,91.639999,82.079483,424850
2012-07-27,91.639999,91.660004,91.639999,91.660004,82.097351,179400
2012-07-30,91.660004,91.660004,91.639999,91.660004,82.097351,372150
2012-07-31,91.620003,91.639999,91.620003,91.620003,82.061569,150900
2012-08-01,91.660004,91.660004,91.639999,91.639999,82.079483,699750
2012-08-02,91.639999,91.660004,91.639999,91.639999,82.079483,105600
2012-08-03,91.639999,91.660004,91.639999,91.639999,82.079483,123350
2012-08-06,91.639999,91.660004,91.639999,91.660004,82.097351,208550
2012-08-07,91.639999,91.660004,91.620003,91.639999,82.079483,545300
2012-08-08,91.639999,91.639999,91.620003,91.620003,82.061569,205650
2012-08-09,91.620003,91.639999,91.620003,91.620003,82.061569,65400
2012-08-10,91.620003,91.639999,91.620003,91.620003,82.061569,246800
2012-08-13,91.639999,91.639999,91.620003,91.620003,82.061569,1007900
2012-08-14,91.620003,91.639999,91.620003,91.620003,82.061569,179250
2012-08-15,91.620003,91.639999,91.620003,91.620003,82.061569,85150
2012-08-16,91.620003,91.639999,91.620003,91.620003,82.061569,538500
2012-08-17,91.620003,91.639999,91.620003,91.620003,82.061569,190050
2012-08-20,91.620003,91.639999,91.620003,91.620003,82.061569,116400
2012-08-21,91.620003,91.639999,91.620003,91.620003,82.061569,152550
2012-08-22,91.620003,91.639999,91.620003,91.620003,82.061569,102850
2012-08-23,91.620003,91.639999,91.620003,91.620003,82.061569,134200
2012-08-24,91.639999,91.639999,91.620003,91.620003,82.061569,131200
2012-08-27,91.620003,91.639999,91.620003,91.620003,82.061569,101300
2012-08-28,91.620003,91.639999,91.620003,91.620003,82.061569,99500
